Date,Event,Registrations,All_Attendance,Livestream,Room Capacity,Category,Guest_Speaker,in_person,Genres,Total_Profit,Ticket Quantity
2019-11-08,Under the Influece of Comics: A Look Back With Paul Karasik,90.0,72,0,254,Conversation,Yes,72,Literature,578.0,137
2020-02-06,On Point Live,118.0,101,0,254,Conversation,No,101,Journalism & Media,5078.0,212
2021-09-27,On Point Presents The Prime Effect,145.0,91,73,254,Conversation,No,18,Climate,210.0,153
2020-09-28,On Point Presents: A Conversation With Jill Lepore,434.0,226,0,254,Conversation,Yes,226,Technology,0.0,385
2019-09-13,Paul Tough: How College Makes Or Breaks Us,134.0,117,0,254,Conversation,No,117,Health & Wellness,1141.0,352
2021-10-26,This Is Your Mind On Plants / Pollan,252.0,257,162,254,Conversation,No,95,Science,2237.5,351
2023-10-12,Every Man for Himself and God Against All: Filmmaker Werner Herzog on his new memoir,285.0,237,42,254,Conversation,Yes,195,Literature,2650.0,373
2020-09-02,Yaa Gyasi: Transcendent Kingdom,201.0,136,0,254,Conversation,Yes,136,Arts & Culture,0.0,179
2021-09-30,"Endless Thread If You Can Dream It, You Can Meme It",132.0,106,66,254,Endless Thread,No,40,Arts & Culture,402.5,137
2019-10-25,Endless Thread Presents: Endless Dread,111.0,95,0,254,Endless Thread,No,95,Entertainment,866.0,190
2019-07-25,Endless Thread Presents: Infectious,124.0,82,0,254,Endless Thread,No,82,Health & Wellness,400.0,203
2022-10-28,Endless Thread Presents: Rise of the Bots,109.0,60,0,254,Endless Thread,No,60,Technology,240.0,212
2023-11-13,Field Trip: Arts and Crafts,86.0,26,0,254,Field Trip,No,26,Entertainment,0.0,184
2023-08-28,Field Trip: Game Night,170.0,91,0,254,Field Trip,No,91,Entertainment,0.0,298
2023-09-29,Field Trip: Running Club,133.0,51,0,254,Field Trip,No,51,Entertainment,0.0,213
2023-10-23,Field Trip: Speed Friending,84.0,61,0,254,Field Trip,No,61,Entertainment,690.0,81
2019-05-19,Alon Shaya,112.0,88,0,254,Food,Yes,88,Food & Cuisine,2056.0,230
2019-05-28,Clover Food Lab Presents Meet the Farmer,187.0,38,0,254,Food,No,38,Food & Cuisine,0.0,324
2020-06-18,Curated Cuisine Live,64.0,41,0,254,Food,No,41,Food & Cuisine,0.0,55
2023-05-30,"Curated Cuisine: ""Perfectly Good Food” cookbook authors Margaret and Irene Li",126.0,113,13,254,Food,Yes,100,Food & Cuisine,1025.0,195
2023-06-05,Curated Cuisine: “Tenderheart” cookbook author Hetty Lui McKinnon,130.0,103,13,254,Food,Yes,90,Food & Cuisine,750.0,214
2023-12-04,Curated Cuisine: A celebration of Black women and femmes in food with Klancy Miller,143.0,107,0,254,Food,Yes,107,Food & Cuisine,1200.0,584
2019-09-09,Curated Cuisine: Ana Sortun,254.0,198,0,254,Food,Yes,198,Food & Cuisine,2038.0,458
2019-03-04,Curated Cuisine: Andy Husbands,133.0,82,0,254,Food,Yes,82,Food & Cuisine,512.0,219
2022-11-29,Curated Cuisine: Art of the chicken with world-renowned chef Jacques Pépin,258.0,260,0,254,Food,Yes,260,Food & Cuisine,2360.0,376
2019-11-04,Curated Cuisine: Ayr Muir,105.0,86,0,254,Food,Yes,86,Food & Cuisine,877.0,152
2023-03-14,"Curated Cuisine: Celebrating Pi Day with ""Pieometry"" author Lauren Ko",181.0,125,36,254,Food,Yes,89,Food & Cuisine,1500.0,200
2023-01-30,Curated Cuisine: Celebrity chef Tiffani Faison’s Big Heart Hospitality captivates Boston,175.0,158,11,254,Food,Yes,147,Food & Cuisine,1315.0,189
2022-05-17,Curated Cuisine: Cooking with The Korean Vegan — Joanne Lee Molinaro,234.0,193,30,254,Food,Yes,163,Food & Cuisine,2820.0,348
2023-09-11,"Curated Cuisine: Culture, community and comfort food from Roxbury to the Seaport with Nia Grace",132.0,73,0,254,Food,Yes,73,Food & Cuisine,1375.0,1087
2020-02-03,Curated Cuisine: Douglass Williams,141.0,118,0,254,Food,Yes,118,Food & Cuisine,1142.0,261
2023-02-06,Curated Cuisine: East-West cooking with celebrity chef Ming Tsai,269.0,232,23,254,Food,Yes,209,Food & Cuisine,2090.0,396
2022-12-05,Curated Cuisine: Fishing in New England with Barton Seaver and Jeremy Sewall,95.0,73,16,254,Food,Yes,57,Food & Cuisine,535.0,123
2022-03-21,Curated Cuisine: Global Comfort food with Biplaw Rai and Kwasi Kwaa,92.0,62,10,254,Food,Yes,52,Food & Cuisine,485.0,148
2021-12-09,Curated Cuisine: Holiday baking with James Beard Award winner Dorie Greenspan,247.0,178,70,254,Food,Yes,108,Food & Cuisine,1885.0,378
2023-08-07,Curated Cuisine: Ice cream social,194.0,161,0,254,Food,No,161,Food & Cuisine,2115.0,656
2019-06-03,Curated Cuisine: Irene Li,95.0,59,0,254,Food,Yes,59,Food & Cuisine,534.0,255
2021-10-13,Curated Cuisine: Jacques Pepin,297.0,286,100,254,Food,Yes,186,Food & Cuisine,2535.0,396
2022-06-27,Curated Cuisine: Jessica B. Harris,114.0,110,27,254,Food,Yes,83,Food & Cuisine,1125.0,200
2019-04-01,Curated Cuisine: Joanne Chang,206.0,189,0,254,Food,Yes,189,Food & Cuisine,3240.0,356
2022-09-30,Curated Cuisine: Miyoko Schinner and the vegan cheese revolution,109.0,74,11,254,Food,Yes,63,Food & Cuisine,585.0,130
2023-07-20,Curated Cuisine: Radio Boston Chef Throwdown: Barbecue,197.0,148,0,254,Food,No,148,Food & Cuisine,1270.0,324
2023-04-06,Curated Cuisine: Radio Boston presents “Brewed in Mass” beer fest,155.0,110,0,254,Food,No,110,Food & Cuisine,1245.0,302
2023-10-18,Curated Cuisine: Tawakal Halal Cafe’s Yahya Noor brings Somali culture and food to the forefront in Boston,89.0,67,0,254,Food,Yes,67,Food & Cuisine,675.0,91
2023-11-07,Curated Cuisine: The pleasures of eating and reading with New York Times book critic Dwight Garner,151.0,96,0,254,Food,Yes,96,Food & Cuisine,800.0,211
2019-10-07,Curated Cuisine: Tiffani Faison,165.0,141,0,254,Food,Yes,141,Food & Cuisine,1390.0,337
2022-10-03,Curated Cuisine: Wining and dining with The Urban Grape's TJ and Hadley Douglas,54.0,27,5,254,Food,Yes,22,Food & Cuisine,235.0,59
2022-04-06,Curated Cusine: Alice Waters,180.0,136,134,254,Food,Yes,2,Food & Cuisine,720.0,192
2022-01-26,Curated Cusine: Jason Bond,89.0,65,49,254,Food,Yes,16,Food & Cuisine,455.0,79
2021-11-09,Curated Cusine: Tracy Chang,56.0,34,34,254,Food,Yes,0,Food & Cuisine,345.0,81
2022-09-20,Dinners with Ruth: Nina Totenberg on her friendship with Ruth Bader Ginsburg,390.0,306,88,254,Food,Yes,218,Politics,2685.0,567
2022-06-08,Eat Local: Growing a sustainable food system in New England and your backyard,118.0,101,22,254,Food,No,79,Food & Cuisine,1127.5,196
2019-11-19,Let's Talk About Food: Thanksgiving Edition,234.0,217,0,254,Food,No,217,Food & Cuisine,2902.5,486
2023-05-16,A reckoning in restaurants: combatting toxic culture in the food service industry,264.0,124,67,254,Food,No,57,Food & Cuisine,0.0,379
2023-04-13,An evening with Grammy Award-winning singer-songwriter Rhiannon Giddens,334.0,255,62,254,Guest,Yes,193,Arts & Culture,2510.0,347
2019-09-12,An Eveing Of Poetry With Nick Flynn,139.0,103,0,254,Guest,Yes,103,Entertainment,640.0,398
2021-11-10,An Evening With Bob Oakes,249.0,177,83,254,Guest,Yes,94,Journalism & Media,0.0,288
2019-07-30,Glen Johnson,99.0,61,0,254,Guest,Yes,61,Journalism & Media,450.0,171
2019-06-26,Ophira Eisenberg,181.0,162,0,254,Guest,Yes,162,Entertainment,3124.0,357
2019-08-14,Tea Obreht,91.0,43,0,254,Guest,Yes,43,Literature,0.0,198
2022-09-22,The Makers,237.0,140,0,254,Guest,No,140,Arts & Culture,0.0,411
2022-04-08,Young Mungo: Douglas Stuart,66.0,59,2,254,Guest,Yes,57,Literature,1035.0,124
2019-07-19,Alisa Amador,187.0,169,0,254,Guest,Yes,169,Entertainment,3620.0,366
2019-09-29,Moor Mother,58.0,52,0,254,Guest,Yes,52,Entertainment,720.0,65
2019-09-26,Robbie Fulks,65.0,58,0,254,Guest,Yes,58,Entertainment,1195.0,96
2019-10-02,Lizabeth Cohen,58.0,45,0,254,Guest,Yes,45,Politics,529.0,101
2022-10-06,"The northern lights on demand: Artist Dan Acher bring ""Borealis"" to Cambridge",216.0,40,13,254,Guest,Yes,27,Science,140.0,351
2021-05-20,Education Now And Then: Projections On Post-COVID Learning,82.0,42,0,254,Health,No,42,Health & Wellness,0.0,73
2023-10-24,"Foreign Bodies: Simon Schama on the history of pandemics, vaccines, and the health of nations",79.0,51,0,254,Health,Yes,51,Health & Wellness,920.0,110
2020-03-02,Age Is Not A Medical Condtition: Healthy Aging After 50,136.0,80,0,254,Health,No,80,Health & Wellness,1414.0,178
2021-10-25,Learning With COVID,111.0,71,65,254,Health,No,6,Health & Wellness,95.0,360
2020-01-29,Get Educated: Health Care,155.0,58,0,254,Health,No,58,Health & Wellness,0.0,238
2019-08-15,"Living Longer, Living Better: Changing the Culture of Aging",82.0,70,0,254,Health,No,70,Social Issues,658.0,95
2020-02-10,Moral injury In Healthcare,137.0,104,0,254,Health,No,104,Health & Wellness,1320.0,193
2024-01-04,Real Self Care: How to redefine wellness in the new year with Dr. Pooja Lakshmin,83.0,65,0,254,Health,Yes,65,Health & Wellness,475.0,64
2019-12-05,Real-life Stories of Illness and Healing,109.0,84,0,254,Health,No,84,Health & Wellness,774.0,132
2019-05-23,Health Story Collaborative: Healing Stories,103.0,76,0,254,Health,No,76,Health & Wellness,395.0,151
2023-05-17,Living the good life with your anxiety,231.0,115,34,254,Health,No,81,Health & Wellness,745.0,282
2021-08-03,"Here & Now Presents Jessamyn Stanley: ""Yoke""",215.0,103,103,254,Here & Now,Yes,0,Health & Wellness,0.0,190
2021-09-20,Here & Now Presents Trailblazers,66.0,72,50,254,Here & Now,No,22,Social Issues,455.0,91
2022-10-18,Here & Now Presents: The Midterm Elections,89.0,32,17,254,Here & Now,No,15,Politics,0.0,117
2019-04-16,Here & Now's Jeremy Hobson In Conversation Erin Lee Carr,32.0,0,0,254,Here & Now,Yes,0,Literature,20.0,53
2019-03-21,Here & Now's Robin Young and Shaina Taub,111.0,69,0,254,Here & Now,Yes,69,Entertainment,435.0,197
2022-03-03,Newsmakers: Addressing the legacies of systemic racism in national monuments,135.0,82,63,254,Journalism,No,19,Social Issues,0.0,204
2022-04-05,Newsmakers: When the police take your money and never give it back,94.0,106,83,254,Journalism,No,23,Social Issues,0.0,133
2019-09-16,The New York Times' Anthony Tommasini: The Indispensible Composers,81.0,90,0,254,Journalism,Yes,90,Arts & Culture,927.0,115
2020-01-14,The New Yorker's Adam Davidson: The Passion Economy,119.0,78,0,254,Journalism,Yes,78,Business,1259.0,184
